id,department_id,institution_id,name,description
1,1,1,Applied Mathematics,
2,1,1,Astrophysics,
3,1,1,Atmospheric Science,
4,1,1,Biochemistry,
5,1,1,Biological Science,
6,1,1,Biology,
7,1,1,Cell Biology,
8,1,1,Chemistry,
9,1,1,Computing Science,
10,1,1,Earth and Atmospheric Science,
11,1,1,"Ecology, Evolution and Environmental Biology",
12,1,1,Environmental Earth Science,
13,1,1,Geology,
14,1,1,Geophysics,
15,1,1,Immunology and Infection,
16,1,1,Integrative Physiology,
17,1,1,Mathematical Physics,
18,1,1,Mathematics,
19,1,1,"Molecular, Cellular and Developmental Biology",
20,1,1,Neuroscience,
21,1,1,Paleontology,
22,1,1,Pharmacology,
23,1,1,Physical Science,
24,1,1,Physics,
25,1,1,Physiology,
26,1,1,Planning,
27,1,1,Psychology,
28,1,1,Science and Education,
29,1,1,Statistics,
30,1,1,Undeclared,
